,number,value,duration,params_Filter,params_Kernel,system_attrs_grid_id,system_attrs_search_space,ID_G,ID_MSE,OD_G,OD_MSE
34,34,0.809032875,0 days 00:03:42.552308,14,12,74,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.961619524,0.001323725,0.809032875,0.00780931
35,35,0.958354813,0 days 00:01:40.361612,9,9,16,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.980337227,0.001774864,0.958354813,0.008328058
36,36,0.844831375,0 days 00:01:41.069094,8,12,8,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.975970558,0.001848631,0.844831375,0.008964467
37,37,0.321594687,0 days 00:01:20.325154,13,4,55,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.575464139,0.002961868,0.321594687,0.010123409
38,38,0.849000063,0 days 00:02:03.091422,9,12,19,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.985177293,0.001624346,0.849000063,0.008857807
39,39,0.856009938,0 days 00:02:33.894414,11,12,41,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.663173029,0.001443245,0.856009938,0.008113458
40,40,0.919159375,0 days 00:02:19.110729,10,12,30,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.992207401,0.001417421,0.919159375,0.008520598
41,41,0.965724437,0 days 00:02:05.050609,10,11,29,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.972918932,0.001457818,0.965724437,0.007825331
42,42,0.603290312,0 days 00:01:15.700384,12,4,44,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.654960861,0.003796539,0.603290312,0.011529425
43,43,0.918913875,0 days 00:02:06.173531,9,13,20,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.98403233,0.001590873,0.918913875,0.009244269
44,44,0.318323875,0 days 00:02:03.360497,14,7,69,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.090461824,0.001800371,0.318323875,0.008521222
45,45,0.180915687,0 days 00:01:12.864498,11,4,33,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.261854136,0.004788022,0.180915687,0.012715321
46,46,0.304005563,0 days 00:01:10.931322,10,4,22,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.282403193,0.004560901,0.304005563,0.012037285
47,47,0.372934188,0 days 00:01:34.588390,14,5,67,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.355315687,0.002523387,0.372934188,0.009205323
48,48,0.926326937,0 days 00:02:25.185820,12,11,51,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.975337272,0.001342271,0.926326937,0.007749943
49,49,0.91903575,0 days 00:01:23.038723,8,9,5,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.987119365,0.001950301,0.91903575,0.008903102
50,50,0.826925937,0 days 00:03:00.221181,10,14,32,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.996302182,0.001377793,0.826925937,0.007925685
51,51,0.59788675,0 days 00:05:28.342113,14,14,76,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.674033923,0.00130323,0.59788675,0.007823637
52,52,0.699040625,0 days 00:03:34.617544,11,14,43,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.827259248,0.001360962,0.699040625,0.008263649
53,53,0.824621312,0 days 00:01:36.725014,10,7,25,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.81958097,0.002146429,0.824621312,0.008595212
54,54,0.677150438,0 days 00:01:25.655651,11,5,34,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.884038879,0.002720863,0.677150438,0.00990953
55,55,0.779767312,0 days 00:03:16.416177,14,11,73,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.824708318,0.00131703,0.779767312,0.007705184
56,56,0.776563625,0 days 00:02:23.681594,13,9,60,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.909918581,0.001482202,0.776563625,0.008034158
57,57,0.653375875,0 days 00:01:21.504522,8,7,3,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.893525774,0.002828526,0.653375875,0.00987655
58,58,0.4555465,0 days 00:01:24.112389,10,5,23,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.567577354,0.003389074,0.4555465,0.010400303
59,59,0.707695813,0 days 00:01:46.910723,10,8,26,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.797472418,0.001894996,0.707695813,0.008995604
60,60,0.98605825,0 days 00:02:04.934824,12,9,49,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.980306803,0.001620922,0.98605825,0.008390509
61,61,0.733338625,0 days 00:01:23.345848,8,6,2,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.98682634,0.003632365,0.733338625,0.011001993
62,62,0.846080562,0 days 00:01:28.857508,12,5,45,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.874483338,0.002349194,0.846080562,0.009272544
63,63,0.878200438,0 days 00:01:44.530323,8,13,9,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.966965056,0.001636291,0.878200438,0.008550048
64,64,0.859705813,0 days 00:01:46.326821,11,7,36,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.988065001,0.001941766,0.859705813,0.008467672
65,65,0.632039125,0 days 00:01:31.326434,9,6,13,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.991029595,0.002966033,0.632039125,0.010976179
66,66,0.35943175,0 days 00:01:10.224734,9,4,11,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.424165986,0.003979253,0.35943175,0.012093078
67,67,0.924169313,0 days 00:01:53.324055,9,11,18,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.991494036,0.00152433,0.924169313,0.008145128
68,68,0.82935175,0 days 00:02:07.758424,8,14,10,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.995888306,0.001510458,0.82935175,0.008827835
69,69,0.936784688,0 days 00:01:54.836467,11,8,37,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.97427301,0.001850895,0.936784688,0.008690169
70,70,0.887603063,0 days 00:02:06.927135,10,10,28,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.963194921,0.00161136,0.887603063,0.008134717
71,71,0.784891812,0 days 00:03:12.255380,14,10,72,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.959718477,0.001405591,0.784891812,0.008183266
72,72,0.922997375,0 days 00:02:01.980689,12,8,48,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.988516708,0.001748042,0.922997375,0.008657911
73,73,0.852880188,0 days 00:02:28.447341,14,8,70,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.877240199,0.001550111,0.852880188,0.008127527
74,74,0.18643225,0 days 00:01:09.517715,8,4,0,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.212402575,0.005010563,0.18643225,0.01253005
75,75,0.839111375,0 days 00:03:24.928055,13,12,63,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.999727227,0.001270153,0.839111375,0.00789973
76,76,0.8941675,0 days 00:01:34.622706,8,11,7,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.98539973,0.00165821,0.8941675,0.008387914
